spi6d-sktuf-7uxvh-lnaku-l2onl-w66dw-cvx76-kn7jl-i5mcg-3fde3-cqe,LenGte(7),1
d4cuv-f7odn-d7ja6-myd6x-wnfi3-d4m7i-2d5kn-hmnx3-tj7at-wzs2q-vae,LenGte(7),1
kdxek-pvzvo-m5jjg-j3xn3-torx7-7oake-5gx24-qlh43-izaj4-xum6l-dae,LenGte(7),10
sfdod-3wspn-6tuzn-l7pvl-gbboi-qtbgz-l3yj6-4vfet-xsonk-rfh35-3qe,LenGte(7),10
2uz45-vj6r5-lis2z-wwbv6-ahxba-jcgy7-2edj3-giqpi-52y3j-764du-mae,LenGte(7),10
jy3r2-z7yki-6jqzd-khitu-shrqq-cqjur-u6ra5-phdfd-yzta5-z7z2e-sae,LenGte(7),10
76ltr-6bsc3-6ythr-3lmhu-lhw4t-bgwog-umuyk-lk3an-3wvhz-rb7hj-sqe,LenGte(7),10
dagsa-2ib6m-2gzkk-gmqh7-wc3xe-6vgxm-dptl3-lqo6o-6ot6b-hjidp-oqe,LenGte(7),10
dktiq-kzs4e-3v4vy-en2kc-2ir2b-xdkcq-lhhox-dcjgo-wis6z-kjfzg-bqe,LenGte(7),10
swdt4-bhmyv-5qkdx-plkiz-mciws-mz5ez-k4cz7-jl4b4-ya4hy-3srgb-mae,LenGte(7),10
b2kqo-aehxn-5k7ll-d3qro-vucqc-4pj55-fttvb-ool3p-3yhzy-pkhvv-zae,LenGte(7),10
onu3g-f5zqz-2qz2s-xryo2-24yrv-xvarh-bceyk-egik4-wmjkf-tvy5t-fae,LenGte(7),10
l5ath-xpzmm-nrvss-tlwt6-vdakg-qhmhg-t4nuc-4ai42-z72d7-jswu4-gae,LenGte(7),10
breaz-za2qu-2a7rq-evyzz-medr6-762yn-ilfio-moa3o-vq3nj-s7zq5-iqe,LenGte(7),10
sja5j-zv6yf-dvjli-l4qg6-e634h-7wqug-jhc45-j6xgc-zssso-gfo6h-cae,LenGte(7),10
6nofg-isda2-axmts-jjrpa-xxs4i-tlb5y-ppukm-ytqv7-q4rnx-t3wdo-iqe,LenGte(7),10
