id,title,summary,grant,icnaming,recommend_url,type,url
cubic,Cubic,Cubic is a generative art project. Data such as ownership history and transaction history are used in different ways to generate unique canvases in a variety of styles.,,cubic,cubic,icapp,https://cubic.place/
cycle,,,,cycle,cycle,reserved,
cycle-dao,cycle_dao,We support autonomous open services on the Internet Computer,,cycle-dao,cycle-dao,icapp,https://cycledao.xyz/
cycles,,,,cycles,cycles,reserved,
cycles-bet,Cycles Bet,Provably secure & fair games.,,cycles-bet,cycles-bet,icapp,https://cycles.bet/
cyman,CYMAN,"10,000 randomly generated cybernetic humanoid's from 550,000,000 BCE built on the Internet Computer. ",,cyman,cyman,icp123,https://www.cyman.live/
dab,DAB,DAB provides seamless access to #InternetComputer data that many apps/UI’s need to surface.,,dab,dab,icp123,https://dab.ooo/
dank,Dank,"Dank is the first Decentralized Bank built on the Internet Computer, developed by Fleek. ",,dank,dank,icp123,https://dank.ooo/
data app development platform,Data App Development Platform,Low code platform that enables engineering teams build data apps and workflows,25000.0,tbd,data-app-development-platform,grant,
dbox,dbox,Spam free inbox for IC dapp developers to communicate directly with their users,25000.0,dbox,dbox,grant,
dbox-foundation,DBOX Foundation,The decentralized inbox built on Dfinity's  #internetcomputer.,,skip,dbox-foundation,icapp,https://www.dbox.foundation/
deckdeckgo,DeckDeckGo,Open source tools for creating presentations on the Internet Computer,25000.0,deckdeckgo,deckdeckgo,grant,
deckdeckgo (follow-on),DeckDeckGo (Follow-On),Additional features and full migration to the IC,25000.0,skip,deckdeckgo-(follow-on),grant,
deland,Deland,Fungible Token Standard and DeFi components,5000.0,deland,deland,grant,
deland-labs,Deland Labs,Dfinity Open Order Protocol.,,skip,deland-labs,icapp,https://delandlabs.com/
demodroids,Demodroids,"10,000 Androids programmed for only one purpose, demolition!",,demodroids,demodroids,icapp,demodroids.com
departure labs,Departure Labs,"<p>Departure Labs is exploring on-chain media, web native NFTs, and developing productized open internet services for developers and consumers. Departure Labs is currently developing a non-fungible token standard that leverages the unique properties of the Internet Computer and enables builders to create entire experiences from a single contract.</p>",,departure-labs,departure-labs,showcase,https://github.com/DepartureLabsIC/non-fungible-token
departure-labs,Departure Labs,Departure Labs is developing productized open internet services for developers and consumers.,,skip,departure-labs,icp123,https://github.com/DepartureLabsIC/non-fungible-token
devnull,DevNull,Social platform for software developers,5000.0,devnull,devnull,grant,
dfinance,DFinance,Foundational DeFi components for the Internet Computer,25000.0,dfinance,dfinance,grant,
dfinity,,,,dfinity,dfinity,reserved,
dfinity,DFINITY,The DFINITY Foundation is a major contributor to the Internet Computer.,,skip,dfinity,icp123,https://dfinity.org/
dfinity explorer,DFINITY Explorer,"<p>DFINITY Explorer, a project started in 2018, is an open-source, community-built dashboard and explorer for the Internet Computer, providing live information and statistics about the network, governance, and the ICP utility token, including account and transaction information.</p>",,dfinity-explorer,dfinity-explorer,showcase,https://www.dfinityexplorer.org/#/datacenters
dfinity-academy-ru,Internet Computer Академия DFINITY,Educational materials on the technical features of the Internet Computer blockchain in Russian.,,dfinity-academy-ru,dfinity-academy-ru,icapp,
dfinity-bulls,Dfinity Bulls,"8,888 Awesome Badass Bulls will ever be minted! Exclusively on ICP!",,dfinity-bulls,dfinity-bulls,icp123,https://twitter.com/DBulls_NFT
dfinity-bulls-nft,Dfinity Bulls NFT,"8,888 Awesome Badass Bulls will ever be minted! Exclusively on ICP!",,skip,dfinity-bulls-nft,icapp,
dfinity-club,DfinityClub,The world's most influential Dfinity community - building a new world of decentralized InternetComputer blockchain.,,dfinity-club,dfinity-club,icp123,https://t.me/DfinityClub_Chat
dfinity-community,DfinityCommunity,The Extraordinary Community Behind The Internet Computer.,,dfinity-community,dfinity-community,icp123,https://www.dfinitycommunity.com/
dfinity-en-espanol,DFINITY en Español,#InternetComputer reinventando la internet pública como una computadora blockchain. Noticias sobre #InternetComputer en español.,,dfinity-en-espanol,dfinity-en-espanol,icapp,
dfinity-explorer,Dfinity Explorer,"DFINITY Explorer is an open-source project under the MIT license, providing transparency, reliability, and security.",,dfinity-explorer,dfinity-explorer,icp123,https://www.dfinityexplorer.org/
dfinity-scan,DFINITY SCAN,The Internet Computer is a public blockchain network .,,dfinity-scan,dfinity-scan,icp123,https://www.icp.report/
dfinity-space-apes,Dfinity Space Apes,"10,000 Space Apes on the Internet Computer.",,skip,dfinity-space-apes,icapp,
dfinity-sz,Dfinity SZ,DfinitySZ is the leading Dfinity Chinese community in China. ,,dfinity-sz,dfinity-sz,icp123,https://dfisz.com/
dfinity-vietnam,Dfinity Vietnam,Founded in June 2021 we are a group of people passionate about learning about Internet Computer. We want to build a Dfinity Vietnam community where everyone can find knowledge from basic to advanced.,,dfinity-vietnam,dfinity-vietnam,icapp,https://dfinityvietnam.com/
dfinitynft,DfinityNFT,NFT standard with metadata focus,5000.0,skip,dfinitynft,grant,
dfinitynodes,DFINITYNodes,"Crowd-funded nodes, powering the #IC developing, more info soon.",,skip,dfinitynodes,icapp,
dfinitysz,DfinitySZ中文社区,Dfinity中国社区，立足于中国前沿城市深圳，专注于Dfinity生态技术发展交流与优质项目挖掘分析。,,skip,dfinitysz,icapp,https://dfisz.com/
dfinityvietnam,Dfinity Vietnam,Founded in June 2021 we are a group of people passionate about learning about Internet Computer. ,,skip,dfinityvietnam,icp123,https://dfinityvietnam.com/
dfistarter,Dfistarter,DfiStarter is the first project accelerator for Dfinity.,,dfistarter,dfistarter,icp123,https://dfistarter.io/
dflow,dFlow,Decentralized workflows for B2B collaboration,25000.0,dflow,dflow,grant,
dgdg,DGDG (dgastonia),"The most comprehensive browsing experience for NFTs on The Internet Computer. Sort and filter by price & rarity, expose floors, ... more to come!",,dgdg,dgdg,icapp,https://www.dgastonia.com/nfts/collections/
difibase,Difibase,"""Database"" solution for the Internet Computer",5000.0,difibase,difibase,grant,
distrikt,Distrikt,"Distrikt is a completely decentralized, community-owned professional network. ",,distrikt,distrikt,icp123,https://az5sd-cqaaa-aaaae-aaarq-cai.ic0.app/
dmail,Dmail Network ,Dmail is the first mail application based on Web3.0 and Dfinity technology .,,dmail,dmail,icp123,http://dmail.ai/
doocoins,DooCoins,A task-based rewards platform for kids,5000.0,doocoins,doocoins,grant,
dots,Dots,"This is a hackathon project, build in less than 1 day.",,dots,dots,icp123,https://2kvgp-zyaaa-aaaai-aappq-cai.raw.ic0.app/
drip-land,Drip.Land,The home of the IC Drip universe. Is your outfit drippin?,,drip-land,drip-land,icapp,https://drip.land/
dscvr,DSCVR,A completely decentralized social content platform running on the #InternetComputer beta preview started!,,dscvr,dscvr,icp123,https://h5aet-waaaa-aaaab-qaamq-cai.raw.ic0.app/
dservice,dService,Next-generation decentralized Service Management Application,25000.0,dservice,dservice,grant,
dsocial,DSocial,Decentralized & censorship resistant 📺 built on the Internet Computer & ARWeave.,,dsocial,dsocial,icapp,http://dsocial.app/
dstar,Dstar,This is a technical test of dstar.,,dstar,dstar,icp123,https://II.dstar.app
dws (dfinity web services),DWS (Dfinity Web Services),Data management tools for developers,5000.0,dws,dws-(dfinity-web-services),grant,
earth wallet,Earth Wallet,Security audit support for non-custodial wallet,25000.0,earth-wallet,earth-wallet,grant,
earth-wallet,Earth Wallet,Earth Wallet is the self-proclaimed Key to Web3.0.,,skip,earth-wallet,icp123,https://www.earthwallet.io/
economia,Economia ,Incentive protocol that allows users to leverage their social networks to complete and monetize tasks,5000.0,economia,economia,grant,
eimolad,Eimolad,Eimolad is a fantasy world full of adventures and populated by the first NFT game characters - MetaHeroes.,,eimolad,eimolad,icapp,
elementum,Elementum,"Elementum focuses on delivering products and services, games more specifically. With our core being a Trading Card Game in IC.",,elementum,elementum,icapp,https://elementum.one/
ensofinance,EnsoFinance,Discover and create open DeFi metastrategies.,,ensofinance,ensofinance,icp123,https://www.enso.finance/
entrepot,Entrepot,"By definition, an entrepôt is a port, city, or trading post where merchandise may be imported, stored or traded. ",,entrepot,entrepot,icp123,https://entrepot.app/
eria,Eria,CoreWeave API for generative art on the IC,5000.0,eria,eria,grant,
evm on icp,EVM on ICP,"<p>An Ethereum Virtual Machine (EVM) demo built and hosted on the Internet Computer blockchain. ""The Ethereum protocol itself exists solely for the purpose of keeping the continuous, uninterrupted, and immutable operation of this special state machine; It's the environment in which all Ethereum accounts and smart contracts live. At any given block in the chain, Ethereum has one and only one 'canonical' state, and the EVM is what defines the rules for computing a new valid state from block to block."" - Ethereum.org P.S. there is a hidden game in the demo. </p>",,evm-on-icp,evm-on-icp,showcase,https://fxa77-fiaaa-aaaae-aaana-cai.raw.ic0.app/evm/
exponent,Exponent,EXT Token Standard and DEX prototype,25000.0,exponent,exponent,grant,
fleek,Fleek,Fleek brings decentralized web-hosting to the Internet Computer. ,,fleek,fleek,icp123,https://fleek.co/
fleek-co,Fleek.co,"Effortlessly build Open Web sites & apps. Hosting, ENS, Storage, Pinning! Built on the Internet Computer, IPFS, Ethereum, Filecoin, etc.",,fleek-co,fleek-co,icapp,https://fleek.co/
fleek-ooo,Fleek.ooo,"Easily build, deploy, and manage canisters, cycles, apps, & infrastructure on DFINITY's Internet Computer.",,fleek-ooo,fleek-ooo,icapp,https://fleek.ooo/
freeos,Freeos,Proton <> Internet Computer integration and oracle prototype,25000.0,freeos,freeos,grant,
functionland,Functionland,Blockchain-Attached Storage (BAS) and the Borg Protocol. Rewarding OS devs for their contributions to a thriving #dApp ecosystem.,,functionland,functionland,icapp,https://fx.land/
gauzs,Gauzs,Social network for academics,25000.0,gauzs,gauzs,grant,
get-impact-now,GET.IMPACT.NOW,get.impact.now wants to cive everyone the ability to collaborate on answers to the small questions of your village as well as the big questions of our civilization.,,get-impact-now,get-impact-now,icp123,https://getimpactnow.org/
get.impact.now,get.impact.now,Non-partisan cooperative platform for democratic decision making,25000.0,skip,get.impact.now,grant,
gigaverse-labs,Gigaverse Labs,"We believe that the Internet Computer is the best ecosystem for building a metaverse. Technologically it’s ready to host the whole world on the blockchain: the game, the assets, the players. Working on this belief, we want to bring a metaverse to the IC. We’ve started with a collection of ICPunks and Infinity Frogs. Our next goal is to create a bridge from Ethereum to IC, so that people can freely move NFTs (also Decentraland assets) to the IC and back. The next step would be to establish a DAO to fuel the growth of the crosschain ecosystem of apps and tools. We believe in the open gasless NFT ecosystem.",,gigaverse-labs,gigaverse-labs,icapp,https://gigaverselabs.com/
gobazzinga,GoBazzinga,Challenge-based social spectulation platform,25000.0,gobazzinga,gobazzinga,grant,
golang developer tools,Golang Developer Tools,Candid implementation and Golang agent,25000.0,golang-developer-tools,golang-developer-tools,grant,
haundet-hamsters,Haundet Hamsters,"Haunted Hamsters are 3333 hamsters, who have been haunted on the hill of Hamsterville.",,haundet-hamsters,haundet-hamsters,icp123,https://www.hauntedhamsters.io/
haunted-hamsters,Haunted Hamsters,"Haunted Hamsters are 3,333 hamsters, who have been haunted on the hill of Hamsterville.",,skip,haunted-hamsters,icapp,https://www.hauntedhamsters.io/
hexgl,HexGL,HexGL is a futuristic racing game .,,hexgl,hexgl,icp123,https://neqb2-dyaaa-aaaad-qameq-cai.raw.ic0.app/
ibridge,iBridge,Become the bridge between Dfinity and other public chain ecosystem,,ibridge,ibridge,icp123,https://www.ibridge.pro/
ic,,,,ic,ic,reserved,
ic drive,IC Drive,Decentralized file storage and sharing,25000.0,ic-drive,ic-drive,grant,
ic drive (follow-on),IC Drive (Follow-On),Analysis of cycles for storage,5000.0,skip,ic-drive-(follow-on),grant,
ic gallery,IC Gallery,"<p>The IC Gallery is an interoperable 3D metaverse blending GameFi and DeFi, where users can play, mint, and trade all their existing NFTs through various immersive 3D experiences on the Internet Computer and Ethereum. Hosted completely on-chain, the IC Gallery is the ultimate 3D NFT metaverse experience.</p>",,ic-gallery,ic-gallery,showcase,https://ic.gallery/
ic rocks,IC Rocks,"<p>IC.Rocks is a complete ""block explorer"" for the Internet Computer – built by the community. Tracking everything from transactions, to network upgrades, to cycles, IC.Rocks enables anyone to explore the inner-workings of the Internet Computer. </p>",,ic-rocks,ic-rocks,showcase,https://ic.rocks/
ic video,IC Video,Decentralized video conferencing,25000.0,ic-video,ic-video,grant,
ic-ape-ventures,IC Ape Ventures,"10,000 Unique Apes are getting ready to take their first steps in to the #ICP ecosystem.",,ic-ape-ventures,ic-ape-ventures,icapp,https://icapeventures.com/
ic-canvas,IC Canvas,This is an experimental project from the Dfinity Foundation 2021 hackathon. ,,ic-canvas,ic-canvas,icp123,https://rdbii-uiaaa-aaaab-qadva-cai.raw.ic0.app/
ic-cards,IC Cards,"IC Cards is an NFT-based game on the IC Protocol. Gather, craft, level, and prepare yourself for a world full of monsters and villains.",,ic-cards,ic-cards,icapp,
ic-dashboard,IC Dashboard,The Internet Computer Association (ICA) is a Geneva-based independent members organization.,,ic-dashboard,ic-dashboard,icp123,https://dashboard.internetcomputer.org/
ic-dinos,IC Dinos,"IC Dinos NFT Collection 🦕  🦖 8,888 unique eggs - pre-sale Q1 2022. Hatching date TBA. Website/Roadmap/Discord coming soon.",,ic-dinos,ic-dinos,icapp,
ic-drip,IC DRIP,IC Drip are randomly generated meta-commerce shopping carts for outfits and personas stored on chain. ,,ic-drip,ic-drip,icp123,https://drip.land/
ic-drive,IC Drive,A decentralized private file storage dapp built on the Internet Computer. ,,ic-drive,ic-drive,icp123,https://rglue-kyaaa-aaaah-qakca-cai.ic0.app/
ic-gallery,IC Gallery, Home of the Metaverse. 9999 unique 3D Moonwalker NFTs,,ic-gallery,ic-gallery,icp123,https://gan2q-ciaaa-aaaai-aanoq-cai.raw.ic0.app/
ic-naming,IC Naming,"ICNaming is a Decentralized Domain Name Server based on Dfinity network, which accomplishes the basic functions of Domain Name Server by decentralized method, also an on-chain server corresponding to IP address and wallet address on Dfinity.",,skip,ic-naming,icapp,
ic-notes,IC Notes,An app that stores your notes on the IC. Therefore your notes are highly private and no intermediary may reveal any information.,,ic-notes,ic-notes,icapp,
ic-rocks,ic.rocks,IC.Rocks is a complete block explorer for the Internet Computer.,,ic-rocks,ic-rocks,icp123,https://ic.rocks/
ic-turtles,IC Turtles,IC Turtles is a collection of 10000 algorithmically generated turtles (AND ACCESSORIES) on the IC. ,,ic-turtles,ic-turtles,icp123,
ic.rocks,ic.rocks,A collection of developer tools for understanding activity and transactions on the Internet Computer,25000.0,skip,ic.rocks,grant,
ic_tools_dart,ic_tools_dart,Dart agent to help support Flutter dapps on the Internet Computer,5000.0,ic-tools-dart,ic_tools_dart,grant,
ica,Internet Computer Association,The Internet Computer Association (ICA) is a Geneva-based independent members organization.,,ica,ica,icp123,https://internetcomputer.org/
ica dashboard,ICA Dashboard,"<p>The Internet Computer Association maintains a public dashboard where anyone can track the latest statistics for the Internet Computer blockchain. Tracking everything from blocks per second, to NNS proposals and their information and voting record, as well the latest state of the network, and transaction data. </p>",,skip,ica-dashboard,showcase,https://dashboard.internetcomputer.org/
icape-ventures,IC Ape Ventures,"We make sure that every emerging product looks realistic, charismatic, strong and intelligent. ",,icape-ventures,icape-ventures,icp123,https://icapeventures.com/
icapps,icApps,IC dapps directory and developer portal,25000.0,icapps,icapps,grant,
icats,ICats,"ICats are companions to ICPunks, the most popular Internet Computer NFT collection. ICats were airdropped to ICPunk holders as a thank you note and a sign of what is coming from Gigaverse Labs. There are exactly 10,000 unique ICats in the collection.",,icats,icats,icapp,
icbunny,ICPBunny,Yieldable #NFT & Breedable #NFT Powered by Dfinity,,icbunny,icbunny,icp123,https://linktr.ee/icpbunny
iccomics,ICComics,The First Procedural Community Driven Web Comic On The Internet Computer.,,iccomics,iccomics,icapp,
icdrip,ICDrip,"IC Drip are randomly generated meta-commerce shopping carts for outfits and personas stored on chain. Stats, images, and other functionality are intentionally omitted for others to interpret. Feel free to use IC Drip in any way you want.",,icdrip,icdrip,icapp,http://icdrip.io/
ices,ICES,a storage and analysis service for canister's event logs on Dfinity.,,ices,ices,icp123,https://www.ices.one/
icevent,ICEvent,"An open event service built on Internet Computer. Manage and share calendars, events, todo list...",,icevent,icevent,icp123,https://znisf-eqaaa-aaaaj-aabta-cai.raw.ic0.app/
icircle nft,iCircle NFT,"<p>The first generative NFT project hosted on the Internet Computer blockchain – iCircle had their inaugural collection sell out in under 6 minutes. The iCircle project consists of generative art NFTs, hosted on the Internet Computer, as well as NFT holders having governance rights in the newly announced iCircle DAO. More releases and minting tools for generative artists are on the way. </p>",,icircle-nft,icircle-nft,showcase,https://entrepot.app/marketplace/icircle
icircle-nft,ICircle NFT,"8,888 Generative Art NFTs Launch Soon in #InternetComputer | Math + Art = Beautiful | Join our discord today! 500 free mint roles available | #8YearGang",,skip,icircle-nft,icapp,
ickitties,ICKitties,"10,000 8-bit kitties living on the #InternetComputer. Join us as we explore the 7 Kingdoms!",,ickitties,ickitties,icapp,https://ickitties.com/
iclighthouse,ICLight.house,ICLighthouse: Blockchain drives value creation.,,iclighthouse,iclighthouse,icapp,https://iclight.house/login
icme,ICME,No code website builder,25000.0,icme,icme,grant,
icmoji,ICMoji Origins,ICMoji Origins is an NFT-based multiplayer game built end-to-end on-chain on the Internet Computer.,,icmoji,icmoji,icp123,https://icmojis.com/
icmoji origins,ICmoji Origins,"DSCVR Hackathon Season 2 Winner, NFT-based game",25000.0,icmoji-origins,icmoji-origins,grant,
icmoji-origins,ICmoji Origins,NFT game powered by Internet Computer. Winner of the DSCVR Hackathon Season 2.,,skip,icmoji-origins,icapp,https://icmoji.com/
icname,IC naming,Name service on IC ,,tbd,icname,icp123,https://icnaming.com
icnaming,,,,icnaming,icnaming,reserved,
icnaming,ICNaming,"<p>ICNaming is a testnet that is enabling the Internet Computer ecosystem to register domain names on the Internet Computer Name Service. Similar to the Ethereum Name Servce (ENS), ICNaming aims to offer a decentralized name service for users to pseudonomize their wallet addresses on ICP, as well as domain names, and canister smart contract IDs. </p>",,skip,icnaming,showcase,https://app-testnet.icnaming.com/
icp,,,,icp,icp,reserved,
icp squad nft,ICP Squad NFT,"<p>ICP Squad NFT is the world's first Engage 2 Earn NFT. ICP Squad is a community-focused group that wanted to reward the Internet Computer ecosystem for using different dapps. Using the Internet Computer blockchain to create the build-your-own minting engine for avatars, as well as the storage of the assets. In addition, users can add accessories and much more to their avatars. By using different dapps across the ICP ecosystem such as Distrikt and DSCVR, users are issued rewards on their NFT. </p>",,icp-squad-nft,icp-squad-nft,showcase,https://p3z4x-vaaaa-aaaaj-qaixq-cai.raw.ic0.app/#/
icp-art,ICP Art,"Exclusive Hand-Crafted Art Collections, Brought to You by the IC.",,icp-art,icp-art,icapp,
icp-dog,ICP.Dog,The most profitable GameFi on IC. Join Dog and reap your wealth.,,icp-dog,icp-dog,icapp,http://icp.dog/
icp-france,ICP France - la communauté francophone,Portail de la communauté francophone ICP (Internet Computer).,,icp-france,icp-france,icapp,
icp-global-fund,ICP Global Fund," ICP Global Fund is a Hedge Fund, headquartered in Luxembourg, with branches in Zürich, Neuchâtel, Tokyo, and Shanghai. Our team brings together decades of combined experience in research, investment, entrepreneurship and operations. ICP Global Fund is dedicated to incubating and investing in projects on the Internet Computer. ",,icp-global-fund,icp-global-fund,icapp,https://www.icp.global/
icp-guide,The ICP Guide,The definitive guide to the Internet Computer Protocol (ICP),,icp-guide,icp-guide,icapp,https://icp.guide/
icp-league,ICP League,ICP League is a non profit organization.,,icp-league,icp-league,icp123,https://icpleague.com/
icp-neuron-calculator,ICP Neuron Calculator,Long time Internet Computer fan.,,icp-neuron-calculator,icp-neuron-calculator,icp123,https://networknervoussystem.com/
icp-squad,ICP Squad,Engage To Earn NFT Game. Powered by @ICPSquad.,,icp-squad,icp-squad,icapp,https://www.dfinitycommunity.com/tag/icpsquad/
icp-swap,ICP Swap,ICPSwap #DFINITY. The Hub of Future Decentralized Finance.,,icp-swap,icp-swap,icp123,https://3pbcj-viaaa-aaaah-qaajq-cai.raw.ic0.app/
icp123,ICP123,Ecosystem page built on the Internet Computer,5000.0,icp123,icp123,grant,
icpart,ICP Art,Exclusive Hand-Crafted Art Collections,,icpart,icpart,icp123,https://linktr.ee/ICPArt
icpbunny,ICPBunny,Yieldable #NFT & Breedable #NFT Power by Dfinity.,,icpbunny,icpbunny,icapp,
icpdog,ICP.Dog,The most profitable GameFi on IC. Join Dog and reap your wealth,,icpdog,icpdog,icp123,http://icp.dog/
icpets,ICPets,ICPets is Community Revenue Focused NFT Project,,icpets,icpets,icp123,https://icpets.io/
icpfans,ICPFans,ICPFans is committed to building the most developer-friendly Dfinity Chinese technology community.,,icpfans,icpfans,icp123,https://icpfans.xyz/
icphotographers,IC Photographers,"At IC photographers, the aim is to bring both creator and collector together.",,icphotographers,icphotographers,icp123,https://www.icphotographers.com/
icpipeline,ICPipeline,Developer tools to bring SDLC best practices to the IC,25000.0,icpipeline,icpipeline,grant,
icpl-community,ICPL Community,ICPL(Internet Computer Protocol Lab) Community is the Extraordinary Community behind the #InternetComputer,,icpl-community,icpl-community,icapp,https://icpl.online/
icplaces,ICPlaces,Virtual reality prototype,5000.0,icplaces,icplaces,grant,
icplaunchpad,ICPLaunchPad,IC dapp statistics and user rewards platform,25000.0,icplaunchpad,icplaunchpad,grant,
